product_name,price,quantity,product_desc
Laptop,999.99,10,Powerful laptop for multitasking
Smartphone,499.95,20,High-resolution camera and fast processor
Headphones,79.99,50,Noise-canceling over-ear headphones
Tablet,299.50,15,Compact and lightweight tablet
Printer,129.75,5,Wireless all-in-one printer
Smartwatch,149.00,30,Fitness tracking and notification support
External Hard Drive,89.99,25,1TB storage capacity
Bluetooth Speaker,39.50,40,Portable and water-resistant speaker
Digital Camera,449.89,8,20MP digital camera with zoom lens
Gaming Mouse,49.95,15,Programmable RGB gaming mouse
Desk Chair,119.00,12,Ergonomic office chair with lumbar support
Coffee Maker,59.99,18,Programmable coffee maker with auto-shutoff
Backpack,29.95,35,Durable and water-resistant backpack
Wireless Keyboard,34.50,22,Compact wireless keyboard for easy typing
Smart Thermostat,129.00,8,Programmable thermostat with energy-saving features
Wireless Earbuds,89.50,28,Bluetooth earbuds with noise isolation
HD Webcam,69.99,10,1080p webcam for video conferencing
Portable Projector,199.00,5,Compact projector with HDMI input
Electric Toothbrush,39.95,15,Rechargeable electric toothbrush with multiple modes
Power Bank,24.99,30,10000mAh portable charger for mobile devices
Wireless Router,79.00,12,Dual-band router for high-speed internet
Resistance Bands Set,19.50,20,Set of 5 resistance bands for home workouts
External SSD,149.99,7,500GB external solid-state drive
Desk Lamp,28.75,25,Adjustable LED desk lamp with brightness control
Portable Monitor,169.50,10,15.6-inch portable monitor with USB-C connectivity
Graphic Tablet,129.95,15,Drawing tablet with pressure-sensitive stylus
Smart Scale,49.00,18,Digital scale with body composition analysis
Travel Pillow,14.99,40,Memory foam neck pillow for travel comfort
Wi-Fi Smart Plug,19.25,30,Smart plug with app and voice control
Cordless Drill,79.99,8,18V cordless drill with variable speed
Robot Vacuum Cleaner,199.50,12,Smart robotic vacuum with mapping technology
Water Bottle,9.95,45,Reusable and BPA-free water bottle
Wireless Charging Pad,29.50,4,Fast-charging wireless pad for smartphones
Fitness Tracker,69.00,25,Activity tracker with heart rate monitoring
Car Phone Mount,12.50,30,Universal car mount for smartphones
In-Ear Monitor Earphones,99.95,6,High-fidelity in-ear monitors for musicians
Power Strip,24.75,18,Surge-protected power strip with USB ports
Mini Refrigerator,119.00,6,Compact mini fridge for snacks and beverages
Gaming Keyboard,79.95,10,Mechanical gaming keyboard with customizable backlight
Wireless Mouse,19.99,25,Optical wireless mouse with ergonomic design
UV-C Sanitizer Wand,39.50,15,Handheld UV-C sanitizer for surfaces and objects
Television,549.00,5,55-inch 4K smart TV with built-in streaming apps
Electric Kettle,34.95,20,Stainless steel electric kettle with rapid boil
Solar Power Bank,49.50,10,Solar-powered portable charger for outdoor use
Smart Doorbell,149.99,8,Video doorbell with motion detection and two-way audio
Folding Bike,299.00,6,Compact folding bike for commuting
USB Flash Drive,14.25,40,64GB USB 3.0 flash drive for data storage
Handheld Vacuum Cleaner,59.50,12,Cordless handheld vacuum for quick cleanups
Wireless Gaming Controller,44.99,15,Bluetooth gaming controller for PC and mobile
Blue Light Blocking Glasses,18.75,30,Computer glasses to reduce eye strain
